result,user_id,item_id,skill,date
0,199,248,"6,8,27,41,44",2019-04-01 12:00:00
0,99,417,"10,13,31",2019-04-01 12:00:24
0,45,228,"18,38,40",2019-04-01 12:00:36
0,157,372,42,2019-04-01 12:01:04
0,128,10,"2,11,21,42",2019-04-01 12:01:50
0,145,62,"14,39",2019-04-01 12:02:01
0,25,262,"11,16,34,36",2019-04-01 12:02:34
0,126,111,"1,19,26,38",2019-04-01 12:03:06
0,185,244,"4,7,19,44",2019-04-01 12:03:34
0,98,467,"20,26,31",2019-04-01 12:04:18
0,144,353,"40,43",2019-04-01 12:04:30
0,73,375,"10,44",2019-04-01 12:05:07
0,1,379,"1,9,37,46",2019-04-01 12:05:29
0,35,436,"4,16,22,30,42",2019-04-01 12:06:03
0,197,257,"4,29,44",2019-04-01 12:06:15
0,106,208,"2,19,21,29",2019-04-01 12:06:39
0,9,429,"6,20,44",2019-04-01 12:07:25
0,196,244,"4,7,19,44",2019-04-01 12:07:37
0,10,188,"0,31,36,45",2019-04-01 12:08:14
0,58,431,"1,42",2019-04-01 12:09:02
0,65,321,"13,21,39",2019-04-01 12:09:34
0,1,247,"4,7,15,26,28",2019-04-01 12:09:57
0,162,224,"1,14,30,38",2019-04-01 12:10:22
0,60,52,"3,26,30,38,42",2019-04-01 12:10:47
0,155,294,"3,26,44",2019-04-01 12:10:50
0,107,13,"9,36,41",2019-04-01 12:11:05
0,16,423,"3,16,29,30",2019-04-01 12:11:32
0,18,382,35,2019-04-01 12:12:07
0,101,386,42,2019-04-01 12:12:22
0,11,238,"19,31",2019-04-01 12:13:20
0,86,496,14,2019-04-01 12:13:27
0,44,402,15,2019-04-01 12:14:06
0,64,3,"14,49",2019-04-01 12:14:30
0,71,404,"15,28,32",2019-04-01 12:14:42
0,48,3,"14,49",2019-04-01 12:15:37
0,107,407,"15,16,23,33,40",2019-04-01 12:16:09
0,29,329,25,2019-04-01 12:16:38
0,25,421,"6,8,17,32,34",2019-04-01 12:16:44
0,42,338,"27,31,36,45",2019-04-01 12:16:50
0,3,393,"20,47",2019-04-01 12:17:43
0,198,105,"13,17,32,37,45",2019-04-01 12:17:45
0,132,343,31,2019-04-01 12:17:52
0,116,350,40,2019-04-01 12:18:32
0,72,275,40,2019-04-01 12:19:07
0,152,220,"3,20,21,29,36",2019-04-01 12:19:43
0,45,70,"15,26",2019-04-01 12:20:37
0,55,374,43,2019-04-01 12:21:29
0,146,423,"3,16,29,30",2019-04-01 12:22:09
0,122,234,"2,39",2019-04-01 12:22:37
0,131,435,"16,38",2019-04-01 12:22:56
0,35,131,"7,31",2019-04-01 12:23:35
0,187,87,"2,5,10,28,49",2019-04-01 12:24:32
0,23,181,"38,41",2019-04-01 12:25:16
0,156,126,"4,14,19",2019-04-01 12:25:40
0,43,6,"5,13,21,28,31",2019-04-01 12:26:31
0,163,106,"18,31,36",2019-04-01 12:27:15
0,110,46,"18,29,38",2019-04-01 12:27:22
0,127,54,"14,16,21,45",2019-04-01 12:27:25
0,185,132,"11,38",2019-04-01 12:27:53
1,104,173,8,2019-04-01 12:28:26
0,43,252,"12,21,49",2019-04-01 12:29:20
0,51,487,22,2019-04-01 12:30:14
0,183,159,"2,28,33,34",2019-04-01 12:30:59
0,100,307,"13,20,29,46",2019-04-01 12:31:40
0,169,40,"17,18,41,44,47",2019-04-01 12:32:16
0,67,393,"20,47",2019-04-01 12:32:28
0,93,232,"0,2,24,26,41",2019-04-01 12:32:45
0,157,249,"15,33,37",2019-04-01 12:33:15
0,75,434,"14,18,19,38",2019-04-01 12:33:47
0,26,195,"15,17,18,34,37",2019-04-01 12:33:56
0,146,90,"0,13,30",2019-04-01 12:34:27
0,168,68,"5,29,30,48",2019-04-01 12:34:36
0,130,63,"9,17,44",2019-04-01 12:34:43
0,165,8,"9,11,34,47",2019-04-01 12:35:32
0,45,37,"20,39",2019-04-01 12:36:17
