result,user_id,item_id,skill,date
0,107,84,1,2019-04-01 12:00:00
1,89,429,8,2019-04-01 12:00:17
0,110,56,14,2019-04-01 12:00:49
0,80,274,17,2019-04-01 12:01:09
0,20,406,6,2019-04-01 12:01:47
0,64,20,39,2019-04-01 12:01:57
0,113,217,48,2019-04-01 12:02:13
0,158,175,20,2019-04-01 12:02:41
0,181,438,48,2019-04-01 12:03:29
1,89,281,31,2019-04-01 12:04:05
0,1,413,7,2019-04-01 12:04:16
1,96,268,18,2019-04-01 12:04:21
0,33,338,42,2019-04-01 12:05:14
0,71,10,11,2019-04-01 12:05:23
0,192,243,23,2019-04-01 12:05:36
0,196,269,22,2019-04-01 12:06:12
0,83,356,2,2019-04-01 12:06:38
0,91,288,1,2019-04-01 12:07:22
1,153,52,11,2019-04-01 12:07:54
0,169,5,46,2019-04-01 12:08:22
1,24,260,25,2019-04-01 12:08:47
0,183,284,39,2019-04-01 12:08:56
0,23,316,42,2019-04-01 12:09:49
0,104,481,31,2019-04-01 12:10:12
0,14,495,39,2019-04-01 12:11:05
0,189,114,38,2019-04-01 12:11:20
0,22,15,3,2019-04-01 12:12:06
1,145,250,29,2019-04-01 12:12:18
1,175,233,29,2019-04-01 12:12:26
0,12,77,1,2019-04-01 12:13:00
0,105,397,9,2019-04-01 12:13:02
0,67,118,43,2019-04-01 12:13:48
0,57,98,25,2019-04-01 12:13:51
0,180,343,14,2019-04-01 12:14:00
1,74,403,37,2019-04-01 12:14:56
0,61,319,6,2019-04-01 12:15:16
1,146,180,41,2019-04-01 12:15:20
1,74,120,45,2019-04-01 12:15:48
0,93,460,32,2019-04-01 12:16:31
0,17,449,28,2019-04-01 12:17:17
0,103,285,8,2019-04-01 12:18:10
0,169,232,4,2019-04-01 12:18:17
1,117,301,43,2019-04-01 12:19:02
0,151,66,37,2019-04-01 12:19:54
0,159,466,18,2019-04-01 12:20:04
1,23,438,48,2019-04-01 12:20:54
0,19,226,26,2019-04-01 12:21:20
0,112,290,12,2019-04-01 12:22:17
1,82,301,43,2019-04-01 12:23:02
1,76,247,34,2019-04-01 12:23:50
0,28,301,43,2019-04-01 12:24:45
0,126,253,10,2019-04-01 12:25:27
1,122,16,48,2019-04-01 12:25:48
0,91,450,12,2019-04-01 12:26:43
1,137,492,40,2019-04-01 12:27:30
0,7,317,47,2019-04-01 12:28:19
0,63,490,46,2019-04-01 12:28:59
0,55,492,40,2019-04-01 12:29:19
0,193,314,46,2019-04-01 12:29:45
0,45,323,0,2019-04-01 12:30:08
0,120,97,35,2019-04-01 12:30:11
0,64,483,24,2019-04-01 12:30:13
0,0,183,2,2019-04-01 12:30:38
0,90,175,20,2019-04-01 12:31:25
0,9,309,16,2019-04-01 12:32:07
0,145,327,13,2019-04-01 12:32:44
0,161,71,31,2019-04-01 12:33:25
0,55,189,30,2019-04-01 12:33:42
0,120,370,23,2019-04-01 12:34:38
0,44,78,2,2019-04-01 12:35:18
0,117,143,28,2019-04-01 12:35:20
0,90,135,41,2019-04-01 12:36:09
0,129,209,36,2019-04-01 12:36:16
0,190,286,32,2019-04-01 12:36:45
0,60,1,26,2019-04-01 12:36:48
0,137,382,46,2019-04-01 12:37:07
0,142,20,39,2019-04-01 12:37:45
0,24,42,36,2019-04-01 12:38:29
0,14,229,42,2019-04-01 12:38:59
0,33,474,16,2019-04-01 12:39:29
0,183,188,7,2019-04-01 12:40:17
0,76,136,8,2019-04-01 12:40:24
0,148,199,29,2019-04-01 12:40:51
0,194,496,47,2019-04-01 12:41:24
0,59,455,19,2019-04-01 12:42:22
0,25,352,38,2019-04-01 12:43:00
0,3,96,14,2019-04-01 12:43:09
1,164,74,37,2019-04-01 12:43:41
1,7,438,48,2019-04-01 12:44:12
0,171,232,4,2019-04-01 12:44:59
0,165,174,3,2019-04-01 12:45:09
0,62,271,21,2019-04-01 12:46:06
0,134,62,37,2019-04-01 12:46:40
0,189,216,35,2019-04-01 12:47:21
0,173,316,42,2019-04-01 12:48:17
0,30,30,37,2019-04-01 12:48:45
1,125,160,25,2019-04-01 12:49:30
0,14,412,43,2019-04-01 12:50:28
0,55,421,23,2019-04-01 12:51:00
0,44,151,18,2019-04-01 12:51:26
0,117,423,2,2019-04-01 12:51:55
1,133,95,42,2019-04-01 12:52:44
0,120,257,4,2019-04-01 12:52:52
0,21,133,39,2019-04-01 12:53:45
0,41,477,44,2019-04-01 12:54:43
0,33,252,1,2019-04-01 12:54:55
0,59,464,7,2019-04-01 12:55:15
0,102,184,1,2019-04-01 12:56:03
0,97,8,44,2019-04-01 12:57:01
0,137,51,34,2019-04-01 12:57:45
0,190,265,4,2019-04-01 12:58:01
0,192,293,23,2019-04-01 12:58:56
0,86,192,24,2019-04-01 12:59:53
0,134,159,22,2019-04-01 13:00:30
0,149,288,1,2019-04-01 13:00:58
0,157,140,45,2019-04-01 13:01:51
0,89,259,24,2019-04-01 13:02:14
0,139,251,20,2019-04-01 13:03:11
0,64,163,0,2019-04-01 13:03:17
0,154,266,6,2019-04-01 13:03:52
0,52,372,40,2019-04-01 13:04:41
1,152,498,5,2019-04-01 13:04:55
0,72,253,10,2019-04-01 13:05:40
1,98,277,25,2019-04-01 13:06:02
0,164,64,13,2019-04-01 13:06:36
0,41,261,26,2019-04-01 13:07:20
1,56,0,28,2019-04-01 13:08:01
0,20,183,2,2019-04-01 13:08:14
1,98,215,7,2019-04-01 13:09:00
0,117,473,38,2019-04-01 13:09:46
0,191,4,35,2019-04-01 13:09:47
0,147,237,44,2019-04-01 13:09:48
0,12,327,13,2019-04-01 13:10:15
0,148,65,38,2019-04-01 13:10:27
0,8,209,36,2019-04-01 13:11:12
0,111,477,44,2019-04-01 13:11:45
1,53,170,41,2019-04-01 13:12:22
0,95,52,11,2019-04-01 13:12:51
0,160,44,7,2019-04-01 13:13:10
0,151,119,44,2019-04-01 13:13:54
0,61,436,40,2019-04-01 13:14:04
1,140,214,10,2019-04-01 13:14:31
0,85,281,31,2019-04-01 13:15:14
0,39,218,10,2019-04-01 13:15:47
0,116,65,38,2019-04-01 13:15:54
0,13,200,3,2019-04-01 13:16:38
1,149,200,3,2019-04-01 13:17:03
0,101,215,7,2019-04-01 13:17:04
0,25,192,24,2019-04-01 13:17:50
1,17,467,2,2019-04-01 13:18:02
0,68,200,3,2019-04-01 13:18:47
