result,user_id,item_id,skill,date
0,124,446,22,2019-04-01 12:00:00
0,31,184,13,2019-04-01 12:00:50
1,75,340,42,2019-04-01 12:00:56
1,83,322,49,2019-04-01 12:01:51
1,136,379,31,2019-04-01 12:01:57
1,63,309,30,2019-04-01 12:02:42
0,101,375,20,2019-04-01 12:02:45
0,63,145,"19,39",2019-04-01 12:03:19
0,180,337,18,2019-04-01 12:04:03
0,177,245,35,2019-04-01 12:04:25
0,148,12,23,2019-04-01 12:04:50
0,3,129,"15,30",2019-04-01 12:05:04
0,2,470,45,2019-04-01 12:05:17
0,16,419,"22,48",2019-04-01 12:06:16
0,174,126,"3,15",2019-04-01 12:07:10
0,4,416,"47,49",2019-04-01 12:07:19
0,182,395,6,2019-04-01 12:08:05
1,105,369,26,2019-04-01 12:08:54
0,107,262,"4,38",2019-04-01 12:09:51
0,110,75,26,2019-04-01 12:09:54
0,126,276,"0,11",2019-04-01 12:10:06
0,143,196,"0,24",2019-04-01 12:10:46
0,176,342,48,2019-04-01 12:11:05
1,22,64,30,2019-04-01 12:11:06
0,109,42,5,2019-04-01 12:11:31
1,46,185,17,2019-04-01 12:11:58
0,160,469,"32,36",2019-04-01 12:12:54
0,64,99,14,2019-04-01 12:13:22
0,59,1,32,2019-04-01 12:13:45
0,187,194,"42,48",2019-04-01 12:13:52
0,133,116,27,2019-04-01 12:14:40
0,157,458,"40,44",2019-04-01 12:15:31
0,175,497,22,2019-04-01 12:16:18
0,8,235,"39,49",2019-04-01 12:17:06
0,62,494,"0,32",2019-04-01 12:17:16
1,88,8,43,2019-04-01 12:17:25
0,114,496,47,2019-04-01 12:18:02
0,39,104,18,2019-04-01 12:18:58
0,91,324,32,2019-04-01 12:19:13
0,149,0,28,2019-04-01 12:20:10
0,153,405,"5,44",2019-04-01 12:20:32
1,23,452,42,2019-04-01 12:21:31
0,137,269,48,2019-04-01 12:22:04
0,158,387,"34,46",2019-04-01 12:22:17
0,78,223,"2,15",2019-04-01 12:23:12
0,179,281,47,2019-04-01 12:24:05
0,112,382,10,2019-04-01 12:24:21
1,7,192,25,2019-04-01 12:25:07
0,58,258,41,2019-04-01 12:25:23
0,114,136,"1,31",2019-04-01 12:25:25
0,192,269,48,2019-04-01 12:25:52
1,24,154,49,2019-04-01 12:26:18
0,117,372,"6,21",2019-04-01 12:27:17
0,55,276,"0,11",2019-04-01 12:27:28
0,104,277,30,2019-04-01 12:27:33
0,128,437,25,2019-04-01 12:28:13
0,113,229,30,2019-04-01 12:29:11
0,131,202,43,2019-04-01 12:29:57
