item_id,domain,a,b,c
1,テキスト処理,1.5865425724412112,0.4207732431603766,0.2
2,テキスト処理,1.5603323795257067,-0.7027727328888459,0.2
3,テキスト処理,1.50619128497932,0.9421948879198242,0.2
4,テキスト処理,1.3586364640590192,0.7629663277065643,0.2
5,テキスト処理,1.475990443148206,-1.256791722226475,0.2
6,テキスト処理,1.4479944892864156,-1.0248814536900441,0.2
7,テキスト処理,1.0248879522677554,0.023401595167390002,0.2
8,テキスト処理,1.5301743240583243,0.2606509509036999,0.2
9,テキスト処理,1.2827477106059386,-0.2288887893722489,0.2
10,テキスト処理,1.259225009563496,-0.533324752960468,0.2
21,ファイルの操作,1.5515949361103911,-0.2605727825098917,0.2
22,ファイルの操作,1.6052070935435305,-0.4752428081508818,0.2
23,ファイルの操作,1.0765120454419135,0.9590282956897611,0.2
24,ファイルの操作,1.429958543406358,0.028282140898880304,0.2
25,ファイルの操作,1.2179668490346447,-0.45230787885893525,0.2
26,ファイルの操作,1.2439745324825358,-0.39572148660795786,0.2
27,ファイルの操作,1.2676245236384638,0.6803789145452059,0.2
28,ファイルの操作,1.0078803885502376,0.3780860075331197,0.2
29,ファイルの操作,1.6374384613610493,0.3211087298773343,0.2
30,ファイルの操作,1.2828548274622555,0.5235521165088604,0.2
11,標準入出力操作,1.351525742423246,0.6506102845760504,0.2
12,標準入出力操作,1.5836486286760452,0.27299413759760877,0.2
13,標準入出力操作,1.1605354969011124,0.12476918772951004,0.2
14,標準入出力操作,1.207693372288336,1.240554654791104,0.2
15,標準入出力操作,1.8509082577885043,0.2446279711489397,0.2
16,標準入出力操作,1.696884373895385,-1.0870848381960307,0.2
17,標準入出力操作,1.1474242937702934,0.35541886701375885,0.2
18,標準入出力操作,1.4711227705912575,-0.59898277595521,0.2
19,標準入出力操作,1.5286942345492338,0.73530984864735,0.2
20,標準入出力操作,1.096526809504676,0.38145371658704164,0.2
