step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.3693446140202759,0.5070007468041017,0.5584609752645325,0.5589474574418267,0.5850481879328757,1,0,1
1,0.5589474574418267,0.5850481879328757,0.31439193614113964,0.31514733053436766,0.48469116950097396,0,2,4
2,0.31514733053436766,0.48469116950097396,0.4984460795552454,0.4989986853943207,0.5603710883035344,1,3,2
3,0.4989986853943207,0.5603710883035344,0.6826425271317476,0.6829921876277231,0.6361095201460929,1,4,3
4,0.6829921876277231,0.6361095201460929,0.8231017022626042,0.8232966065954533,0.6938639329063718,1,5,6
5,0.8232966065954533,0.6938639329063718,0.9096025540367474,0.909702152812553,0.7294316050988456,1,6,5
6,0.909702152812553,0.7294316050988456,0.9560581432801321,0.9561065578685011,0.7485333495999422,1,7,7
7,0.9561065578685011,0.7485333495999422,0.8874093062568985,0.887533357275646,0.7203061208321581,0,8,8
8,0.887533357275646,0.7203061208321581,0.9445767218237611,0.944637786498749,0.7438123852823872,1,9,9
9,0.944637786498749,0.7438123852823872,0.9735798289941613,0.9736089384082682,0.7557379673690637,1,10,11
10,0.9736089384082682,0.7557379673690637,0.9876042958290119,0.9876179532608953,0.7615045884927334,1,15,10
11,0.9876179532608953,0.7615045884927334,0.9942282767542588,0.9942346359667724,0.7642282562639311,1,16,12
12,0.9942346359667724,0.7642282562639311,0.9842268573378259,0.9842442359892138,0.7601158434961129,0,17,13
