skill_field,skill,n,auc,logloss
L1,Linuxファイル操作,2000,0.6203894080996885,0.6703032752301035
L2,テキスト処理,661,0.6751308608976501,0.6407219673250644
L2,ファイルの操作,669,0.669069935111752,0.6465040767073731
L2,標準入出力操作,670,0.6630755316041869,0.6273078969324678
L3,chmod,65,0.6214430894308942,0.659707330621097
L3,chown,79,0.6654571843251089,0.5917026705151609
L3,cp,72,0.5275835275835276,0.6891887406416358
L3,cut,72,0.6161866931479643,0.5547404273605501
L3,find,51,0.6024844720496895,0.7061581248238014
L3,grep,207,0.6127234287910821,0.6569682568413754
L3,head,65,0.5,0.6233266442229131
L3,ls,71,0.5424679487179487,0.6908242700020021
L3,mkdir,63,0.5843434343434344,0.6799646437106783
L3,mv,75,0.6664222873900294,0.6313922488260701
L3,rm,62,0.46875,0.5716072521129909
L3,rmdir,63,0.5493827160493827,0.6792140043659506
L3,sed,58,0.58,0.6670539550768279
L3,sort,62,0.6754385964912281,0.6092716605909275
L3,tail,64,0.5907692307692308,0.6597710706643625
L3,tee,63,0.5583900226757369,0.6272130177054375
L3,touch,68,0.6117424242424243,0.6239762310395656
L3,uniq,71,0.549047619047619,0.5946779524743421
L3,wc,62,0.5311942959001783,0.44921942722906694
L3,xargs,70,0.5951704545454546,0.6127612786591278
L3,パイプ,144,0.6754557291666666,0.5928571954184245
L3,ヒアドキュメント,69,0.6129032258064516,0.6618108909840219
L3,リダイレクト,262,0.6154010695187165,0.566093460999016
L3,標準入出力,62,0.7373949579831933,0.5760096351549214
