step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.4451087744042169,0.5593208903262835,0.6209238541962568,0.6211192907705796,0.6293989012446507,1,2,10
1,0.6211192907705796,0.6293989012446507,0.7699850032819342,0.7701035898601166,0.6887165122249521,1,3,1
2,0.7701035898601166,0.6887165122249521,0.8724526812447304,0.8725184395661587,0.7294926493789623,1,5,10
3,0.8725184395661587,0.7294926493789623,0.9332262003303443,0.9332606262439936,0.7536769521643402,1,7,10
4,0.9332606262439936,0.7536769521643402,0.8325852710551309,0.8326715834266118,0.7136277540462455,0,8,4
5,0.8326715834266118,0.7136277540462455,0.9104062718936071,0.910452462854172,0.7445959565735262,1,11,10
6,0.910452462854172,0.7445959565735262,0.9540471330743097,0.9540708245436667,0.7619624644948783,1,13,8
7,0.9540708245436667,0.7619624644948783,0.9769678378064508,0.9769797122726449,0.7710835631516048,1,16,9
8,0.9769797122726449,0.7710835631516048,0.9885925403531504,0.9885984215853507,0.7757095142304503,1,17,5
9,0.9885984215853507,0.7757095142304503,0.9943837620539476,0.9943866575627178,0.7780140814369673,1,18,6
10,0.9943866575627178,0.7780140814369673,0.9972431463071738,0.9972445676312207,0.7791519489753328,1,19,9
11,0.9972445676312207,0.7791519489753328,0.9986487141355245,0.9986494108047378,0.7797112826860948,1,21,9
12,0.9986494108047378,0.7797112826860948,0.9993381354941396,0.999338476725138,0.7799856320266352,1,22,5
13,0.999338476725138,0.7799856320266352,0.9996759304952748,0.9996760975726141,0.7801200546618512,1,24,2
14,0.9996760975726141,0.7801200546618512,0.999841352804438,0.9998414345966182,0.7801858830567254,1,25,10
15,0.9998414345966182,0.7801858830567254,0.9995542724863316,0.9995545022856985,0.7800716418964097,0,31,4
16,0.9995545022856985,0.7800716418964097,0.9997817819708126,0.9997818944753438,0.7801621773523454,1,40,4
