step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.6242503332133812,0.4481465759388669,0.4523729158423267,0.4528671752671493,0.3788433716689977,0,1,29
1,0.4528671752671493,0.3788433716689977,0.7173448967502989,0.717600006391142,0.48589492616353464,1,6,22
2,0.717600006391142,0.48589492616353464,0.5582029120585256,0.5586016548908128,0.4215998381009327,0,9,28
3,0.5586016548908128,0.4215998381009327,0.38622053943782836,0.3867745045208593,0.35211709403261304,0,10,21
4,0.3867745045208593,0.35211709403261304,0.23873872542044822,0.23942579983768994,0.29253284140282976,0,12,29
5,0.23942579983768994,0.29253284140282976,0.13534001386467198,0.13612041052469426,0.25075864034636985,0,23,27
6,0.13612041052469426,0.25075864034636985,0.32574983676584884,0.32635837952698576,0.3276862742144955,1,28,25
7,0.32635837952698576,0.3276862742144955,0.19412628531340786,0.19485362457441852,0.27450893167891144,0,29,23
8,0.19485362457441852,0.27450893167891144,0.10740833208289569,0.10821393841090401,0.23947393792560942,0,30,23
9,0.10821393841090401,0.23947393792560942,0.05690240940741134,0.05775359972681432,0.21906899731617455,0,33,23
10,0.05775359972681432,0.21906899731617455,0.02957521755761409,0.030451071964160373,0.2080285153849651,0,34,28
11,0.030451071964160373,0.2080285153849651,0.08784085995621299,0.0886641268561659,0.23156846693387678,1,37,21
12,0.0886641268561659,0.23156846693387678,0.046142839626044964,0.04700374096764776,0.2147220144131492,0,39,27
