step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.3280419487571077,0.3877429670789478,0.18421071586587406,0.18494091757487188,0.3305742819214328,0,4,15
1,0.18494091757487188,0.3305742819214328,0.0949838796480538,0.09579394706448595,0.29496017734265895,0,14,19
2,0.09579394706448595,0.29496017734265895,0.04671364004103567,0.04756691348154815,0.27569353701025767,0,15,20
3,0.04756691348154815,0.27569353701025767,0.022578854296550547,0.023453730450091588,0.2660603501807696,0,20,15
4,0.023453730450091588,0.2660603501807696,0.057844352958492995,0.05868766345176805,0.28013626288379334,1,26,16
5,0.05868766345176805,0.28013626288379334,0.028029529776236527,0.028899527105517596,0.268235939216389,0,27,11
6,0.028899527105517596,0.268235939216389,0.013578098340600763,0.01446103094635211,0.2624677778394094,0,32,19
7,0.01446103094635211,0.2624677778394094,0.006741205183889159,0.00763025739817712,0.25973889224626096,0,35,11
8,0.00763025739817712,0.25973889224626096,0.019276642845000382,0.02015447476235481,0.2647423016097138,1,36,18
9,0.02015447476235481,0.2647423016097138,0.049954813359778215,0.05080518567086607,0.27698722274903964,1,38,19
