result,user_id,item_id,skill,date
0,151,253,"15,23,24",2019-04-01 12:00:00
0,56,499,"9,13,35,48",2019-04-01 12:00:57
0,23,418,"0,12,20,24,25",2019-04-01 12:01:53
0,22,434,"1,25,26,32,49",2019-04-01 12:01:58
0,31,350,"16,44",2019-04-01 12:02:08
0,25,343,31,2019-04-01 12:02:47
0,122,347,37,2019-04-01 12:03:33
0,76,384,"5,18,25,28,48",2019-04-01 12:03:55
0,29,419,"3,17",2019-04-01 12:04:35
0,138,52,"1,3,13,27",2019-04-01 12:05:12
0,122,367,"15,48",2019-04-01 12:05:14
0,3,236,"19,23,26,31",2019-04-01 12:05:20
0,106,157,"8,12,17,27,37",2019-04-01 12:05:37
0,56,254,"2,11,31",2019-04-01 12:06:08
0,65,447,"1,3,21,25,45",2019-04-01 12:06:59
1,184,30,21,2019-04-01 12:07:24
0,141,116,"20,35,37",2019-04-01 12:07:28
0,50,106,"14,18,22,30,43",2019-04-01 12:07:48
0,53,238,8,2019-04-01 12:08:35
0,127,189,"1,4,11,32,45",2019-04-01 12:09:22
1,119,439,40,2019-04-01 12:09:27
0,150,490,"12,15,39,46",2019-04-01 12:09:57
0,117,370,39,2019-04-01 12:10:10
0,4,432,"13,38",2019-04-01 12:10:44
0,67,288,"6,38",2019-04-01 12:11:17
0,53,482,24,2019-04-01 12:12:14
0,196,327,12,2019-04-01 12:13:12
0,171,107,"6,47",2019-04-01 12:13:33
1,162,224,28,2019-04-01 12:14:17
0,148,297,"4,6,25,33",2019-04-01 12:14:48
0,144,138,"12,30,41,49",2019-04-01 12:15:14
0,38,126,"19,26",2019-04-01 12:15:30
0,177,136,"9,15,21,39",2019-04-01 12:15:32
0,102,361,"0,36,43,44",2019-04-01 12:15:33
0,191,483,"1,19,28,29",2019-04-01 12:15:53
0,40,119,"9,26,36,41",2019-04-01 12:16:40
0,108,402,"12,20,27",2019-04-01 12:17:04
0,48,3,"1,16,38,41",2019-04-01 12:17:31
0,10,429,"9,39",2019-04-01 12:18:08
0,77,68,"17,33,44",2019-04-01 12:18:29
0,183,173,"1,18,19,22",2019-04-01 12:19:20
1,114,21,44,2019-04-01 12:19:59
0,121,406,"39,41",2019-04-01 12:20:41
0,137,490,"12,15,39,46",2019-04-01 12:21:04
0,175,355,"1,12,31,43",2019-04-01 12:21:20
0,116,350,"16,44",2019-04-01 12:21:33
0,75,209,42,2019-04-01 12:22:32
0,58,230,40,2019-04-01 12:22:47
0,1,487,"12,19",2019-04-01 12:23:24
0,16,21,44,2019-04-01 12:24:17
0,180,467,"8,14",2019-04-01 12:24:29
0,118,263,"9,27,29",2019-04-01 12:24:37
0,36,191,"8,9,13,28,37",2019-04-01 12:24:56
0,179,142,"7,29,30,31,46",2019-04-01 12:25:39
0,99,109,"3,4,38",2019-04-01 12:26:25
0,78,387,"1,3,15,23",2019-04-01 12:26:33
0,22,11,"0,35",2019-04-01 12:27:29
0,170,149,"3,14,40,47",2019-04-01 12:27:42
0,40,333,"2,11,12,22,49",2019-04-01 12:27:50
0,50,199,"2,8,36,45",2019-04-01 12:27:56
0,133,497,"12,39",2019-04-01 12:28:47
0,80,81,"5,25",2019-04-01 12:28:48
0,132,380,"16,27,33,37,44",2019-04-01 12:29:06
0,81,36,"4,13,24",2019-04-01 12:29:35
0,60,285,"4,15,18,25,38",2019-04-01 12:30:16
0,18,396,"3,15,29,42",2019-04-01 12:30:52
0,67,393,47,2019-04-01 12:31:15
0,98,402,"12,20,27",2019-04-01 12:32:13
0,118,35,"1,14,20,23,49",2019-04-01 12:32:46
0,93,446,"4,13",2019-04-01 12:33:29
0,123,441,"29,32",2019-04-01 12:34:24
0,82,338,"20,34,36,43",2019-04-01 12:34:51
0,152,447,"1,3,21,25,45",2019-04-01 12:35:20
0,10,302,"13,14,30,33,47",2019-04-01 12:36:00
0,15,254,"2,11,31",2019-04-01 12:36:01
0,57,372,"6,19",2019-04-01 12:37:00
0,92,108,46,2019-04-01 12:37:15
0,96,295,18,2019-04-01 12:37:55
0,174,242,"17,34,35",2019-04-01 12:38:01
1,197,454,43,2019-04-01 12:38:12
0,8,236,"19,23,26,31",2019-04-01 12:38:35
0,26,171,"11,40,43",2019-04-01 12:38:45
0,133,247,"6,10,17",2019-04-01 12:39:25
0,118,141,"8,13,41",2019-04-01 12:39:26
0,15,225,"10,13,28,30",2019-04-01 12:40:25
1,61,94,2,2019-04-01 12:40:28
0,166,225,"10,13,28,30",2019-04-01 12:41:15
0,89,199,"2,8,36,45",2019-04-01 12:42:08
0,142,460,33,2019-04-01 12:42:18
0,40,411,13,2019-04-01 12:42:43
0,140,195,"6,12,24,29,45",2019-04-01 12:43:01
0,104,130,"27,30,44",2019-04-01 12:43:46
0,115,474,"3,46",2019-04-01 12:44:27
0,55,275,"0,13,26,45",2019-04-01 12:45:26
0,23,413,"19,38",2019-04-01 12:45:29
1,8,327,12,2019-04-01 12:45:30
0,15,466,"13,27,28,44",2019-04-01 12:45:42
0,108,244,"0,7,20,36",2019-04-01 12:46:03
0,169,87,"6,20",2019-04-01 12:46:35
0,187,299,"26,33,46",2019-04-01 12:47:28
0,183,14,"12,18,28,30,33",2019-04-01 12:47:40
0,127,410,43,2019-04-01 12:48:35
0,55,290,"7,18,20,46,49",2019-04-01 12:49:12
0,7,463,"3,7,17,35,46",2019-04-01 12:49:51
0,183,121,"2,38",2019-04-01 12:50:19
0,95,63,"3,20",2019-04-01 12:50:46
0,147,128,"14,16",2019-04-01 12:51:42
0,33,435,"1,16,36,39",2019-04-01 12:52:23
0,11,19,"30,35,43,49",2019-04-01 12:53:18
0,120,314,"19,23,27,32,35",2019-04-01 12:54:13
0,198,490,"12,15,39,46",2019-04-01 12:54:38
0,16,168,"19,47",2019-04-01 12:54:55
0,44,413,"19,38",2019-04-01 12:55:20
0,47,239,"0,11,12,30",2019-04-01 12:56:17
0,75,204,"5,8,43",2019-04-01 12:56:44
0,162,444,"19,20,22,24",2019-04-01 12:56:50
0,176,272,"19,27,48",2019-04-01 12:57:41
1,170,438,14,2019-04-01 12:58:23
1,115,165,39,2019-04-01 12:58:59
0,69,284,"0,4,5,38,42",2019-04-01 12:59:18
0,78,156,47,2019-04-01 13:00:04
0,85,191,"8,9,13,28,37",2019-04-01 13:00:32
0,192,81,"5,25",2019-04-01 13:00:37
0,32,411,13,2019-04-01 13:00:39
0,115,342,"17,29",2019-04-01 13:00:55
0,61,253,"15,23,24",2019-04-01 13:01:39
0,116,48,"6,29,35",2019-04-01 13:02:19
0,53,470,"22,34",2019-04-01 13:02:27
0,29,376,"3,6,13,34,39",2019-04-01 13:02:46
0,99,304,"2,10,19,20,41",2019-04-01 13:03:34
0,182,136,"9,15,21,39",2019-04-01 13:03:35
0,122,328,"34,49",2019-04-01 13:03:57
0,190,130,"27,30,44",2019-04-01 13:04:18
0,42,194,"14,15,21,26,28",2019-04-01 13:04:19
0,3,344,"19,49",2019-04-01 13:04:46
0,140,481,16,2019-04-01 13:05:43
0,170,327,12,2019-04-01 13:05:54
0,134,355,"1,12,31,43",2019-04-01 13:06:31
0,14,441,"29,32",2019-04-01 13:06:33
0,32,324,"0,3,37,39,42",2019-04-01 13:07:07
0,102,380,"16,27,33,37,44",2019-04-01 13:07:20
0,78,350,"16,44",2019-04-01 13:07:33
0,118,70,"5,6,40",2019-04-01 13:08:29
0,195,414,"9,30,32",2019-04-01 13:08:39
0,149,297,"4,6,25,33",2019-04-01 13:09:07
0,173,456,"4,15,36",2019-04-01 13:09:17
0,132,80,"6,34,42,44,49",2019-04-01 13:09:46
0,54,172,"16,22,38",2019-04-01 13:09:58
0,187,297,"4,6,25,33",2019-04-01 13:10:09
0,46,332,"9,33",2019-04-01 13:10:18
0,8,235,22,2019-04-01 13:10:39
0,165,235,22,2019-04-01 13:10:50
0,108,85,16,2019-04-01 13:11:12
0,134,247,"6,10,17",2019-04-01 13:11:18
0,20,440,"7,10,27,48",2019-04-01 13:11:38
0,170,244,"0,7,20,36",2019-04-01 13:11:49
0,147,238,8,2019-04-01 13:12:26
0,65,243,"5,12,25",2019-04-01 13:13:00
0,179,154,"2,14,43",2019-04-01 13:13:13
0,143,388,18,2019-04-01 13:13:30
0,48,133,"11,30,43",2019-04-01 13:13:58
0,99,111,"18,34,49",2019-04-01 13:14:19
0,5,296,39,2019-04-01 13:15:06
0,19,259,"5,10,17,18",2019-04-01 13:15:26
0,88,132,"9,24,44,49",2019-04-01 13:15:50
0,125,457,"9,11,19,41",2019-04-01 13:16:25
0,160,116,"20,35,37",2019-04-01 13:17:09
0,105,48,"6,29,35",2019-04-01 13:17:20
0,67,116,"20,35,37",2019-04-01 13:17:41
1,63,30,21,2019-04-01 13:18:16
0,124,402,"12,20,27",2019-04-01 13:18:47
0,101,472,"29,45,46",2019-04-01 13:19:02
0,167,476,"11,38,40",2019-04-01 13:19:39
0,24,165,39,2019-04-01 13:19:46
0,31,184,38,2019-04-01 13:20:03
0,156,71,"45,47",2019-04-01 13:20:31
0,175,400,46,2019-04-01 13:21:22
0,146,227,45,2019-04-01 13:22:11
0,155,219,"8,38",2019-04-01 13:22:37
0,128,100,"14,36",2019-04-01 13:22:47
0,94,390,"15,37",2019-04-01 13:23:25
0,103,67,49,2019-04-01 13:23:52
0,140,334,"17,22",2019-04-01 13:24:01
1,88,489,17,2019-04-01 13:24:30
0,62,253,"15,23,24",2019-04-01 13:24:38
0,146,239,"0,11,12,30",2019-04-01 13:25:02
0,186,283,"15,30",2019-04-01 13:25:35
0,75,496,"12,22,23,28",2019-04-01 13:25:59
0,98,79,"22,30",2019-04-01 13:26:05
0,98,239,"0,11,12,30",2019-04-01 13:26:52
0,23,5,"1,39,46",2019-04-01 13:27:47
0,148,477,"1,14,26,28,43",2019-04-01 13:28:38
0,126,141,"8,13,41",2019-04-01 13:28:50
0,93,80,"6,34,42,44,49",2019-04-01 13:29:11
0,152,338,"20,34,36,43",2019-04-01 13:29:21
0,17,483,"1,19,28,29",2019-04-01 13:29:42
0,147,135,"38,41,44",2019-04-01 13:29:46
0,112,139,"0,16,24,30,42",2019-04-01 13:30:26
0,15,155,"15,20,49",2019-04-01 13:31:08
0,55,87,"6,20",2019-04-01 13:31:43
0,174,197,"3,5,32,34",2019-04-01 13:32:38
0,183,67,49,2019-04-01 13:33:12
0,146,212,"27,29,43,49",2019-04-01 13:33:23
0,51,142,"7,29,30,31,46",2019-04-01 13:33:50
0,169,399,"2,5,7,42,44",2019-04-01 13:34:10
0,56,248,"13,40,47",2019-04-01 13:35:08
0,134,168,"19,47",2019-04-01 13:35:30
0,38,5,"1,39,46",2019-04-01 13:36:04
0,114,433,"0,30",2019-04-01 13:36:59
0,192,171,"11,40,43",2019-04-01 13:37:30
0,164,220,"0,5,31,34,43",2019-04-01 13:38:02
0,180,36,"4,13,24",2019-04-01 13:38:03
0,36,94,2,2019-04-01 13:38:16
0,183,463,"3,7,17,35,46",2019-04-01 13:38:36
0,35,144,"0,3,27",2019-04-01 13:39:17
0,191,401,"14,48",2019-04-01 13:39:36
0,173,335,"4,8",2019-04-01 13:40:22
0,71,8,"11,13,19,34",2019-04-01 13:41:02
0,170,277,"28,30",2019-04-01 13:41:36
0,117,13,"7,28,41",2019-04-01 13:41:42
1,68,410,43,2019-04-01 13:41:47
0,135,218,"5,36,45",2019-04-01 13:41:57
0,29,163,"41,45",2019-04-01 13:42:33
0,45,412,0,2019-04-01 13:43:21
0,42,190,"0,7,34,35,49",2019-04-01 13:44:02
0,144,279,10,2019-04-01 13:44:37
0,191,258,"10,16,36",2019-04-01 13:44:46
0,187,460,33,2019-04-01 13:44:52
0,167,235,22,2019-04-01 13:45:46
0,102,407,"6,37,38,40",2019-04-01 13:46:12
0,87,51,"38,40",2019-04-01 13:46:49
0,158,281,"13,15,19,38",2019-04-01 13:47:08
0,87,468,"1,13,21",2019-04-01 13:47:38
0,165,323,"1,6,14,19",2019-04-01 13:48:02
0,151,404,"6,14,21,27,46",2019-04-01 13:48:34
0,169,75,"6,10,12,22,29",2019-04-01 13:48:43
0,106,355,"1,12,31,43",2019-04-01 13:49:09
0,71,206,"0,15,30,36",2019-04-01 13:49:54
0,15,268,47,2019-04-01 13:50:11
0,117,107,"6,47",2019-04-01 13:50:45
0,97,448,"13,31,35,46,48",2019-04-01 13:51:40
0,194,270,"22,28,41",2019-04-01 13:52:26
0,77,147,"1,7,19,22,36",2019-04-01 13:52:57
0,127,471,"8,25,46",2019-04-01 13:53:09
0,169,34,"7,40,44",2019-04-01 13:53:20
0,97,86,"2,8,15,21,46",2019-04-01 13:53:32
0,115,393,47,2019-04-01 13:54:29
0,64,487,"12,19",2019-04-01 13:54:34
0,77,6,17,2019-04-01 13:54:54
0,43,390,"15,37",2019-04-01 13:55:51
0,71,136,"9,15,21,39",2019-04-01 13:56:07
0,116,266,"5,11,30,45,48",2019-04-01 13:56:29
0,143,421,"6,43",2019-04-01 13:56:40
0,18,480,"6,19,28,38",2019-04-01 13:57:35
0,149,210,"8,12,36,45,49",2019-04-01 13:57:36
0,80,80,"6,34,42,44,49",2019-04-01 13:57:43
0,7,310,"28,40,43",2019-04-01 13:57:44
0,7,354,"34,38",2019-04-01 13:58:21
0,141,59,22,2019-04-01 13:59:14
0,99,299,"26,33,46",2019-04-01 14:00:11
0,99,262,"1,6,18,33,48",2019-04-01 14:00:15
0,64,470,"22,34",2019-04-01 14:00:18
0,0,202,"34,46",2019-04-01 14:00:59
0,162,486,"21,26,33,44",2019-04-01 14:01:23
0,176,483,"1,19,28,29",2019-04-01 14:01:45
0,44,45,"34,48",2019-04-01 14:02:27
0,121,67,49,2019-04-01 14:02:31
0,56,203,25,2019-04-01 14:03:14
0,183,406,"39,41",2019-04-01 14:03:36
1,88,129,42,2019-04-01 14:04:23
0,153,263,"9,27,29",2019-04-01 14:04:28
0,34,122,"21,22,45",2019-04-01 14:05:14
0,57,294,"7,29,33,44",2019-04-01 14:05:27
0,107,331,"1,10,33,35",2019-04-01 14:06:17
0,152,64,"2,5,18,24,40",2019-04-01 14:06:44
0,35,401,"14,48",2019-04-01 14:07:03
0,18,31,"35,41,49",2019-04-01 14:07:49
0,34,119,"9,26,36,41",2019-04-01 14:08:21
0,80,483,"1,19,28,29",2019-04-01 14:09:08
0,168,4,"0,10,14,19",2019-04-01 14:09:14
0,78,145,"0,2,15,48",2019-04-01 14:10:13
0,192,406,"39,41",2019-04-01 14:10:35
0,44,410,43,2019-04-01 14:10:39
0,164,250,"3,7,20,41",2019-04-01 14:11:35
0,3,423,"5,27,42",2019-04-01 14:12:03
0,4,234,"18,48",2019-04-01 14:12:46
0,91,168,"19,47",2019-04-01 14:12:54
1,176,296,39,2019-04-01 14:13:01
0,150,41,"32,37,42,45",2019-04-01 14:13:46
0,44,263,"9,27,29",2019-04-01 14:14:39
0,87,246,"7,25",2019-04-01 14:14:50
0,175,324,"0,3,37,39,42",2019-04-01 14:15:36
0,172,234,"18,48",2019-04-01 14:15:41
0,133,104,26,2019-04-01 14:15:43
0,35,230,40,2019-04-01 14:16:29
0,135,447,"1,3,21,25,45",2019-04-01 14:16:37
0,186,105,47,2019-04-01 14:16:45
0,11,436,"22,30",2019-04-01 14:16:55
0,24,361,"0,36,43,44",2019-04-01 14:17:35
0,86,450,"28,49",2019-04-01 14:17:48
0,115,299,"26,33,46",2019-04-01 14:18:11
0,100,78,40,2019-04-01 14:19:05
0,43,499,"9,13,35,48",2019-04-01 14:19:48
0,149,104,26,2019-04-01 14:20:30
0,116,109,"3,4,38",2019-04-01 14:21:19
0,172,395,"7,29,46",2019-04-01 14:22:10
0,53,475,"29,43",2019-04-01 14:22:59
0,44,366,"9,43",2019-04-01 14:23:41
0,3,92,"1,8,22,27,40",2019-04-01 14:23:54
0,11,446,"4,13",2019-04-01 14:24:17
0,1,262,"1,6,18,33,48",2019-04-01 14:24:21
0,171,415,"3,15,20,34",2019-04-01 14:25:18
0,62,113,"26,27,33,39",2019-04-01 14:25:19
0,181,175,48,2019-04-01 14:26:14
0,194,47,"27,29",2019-04-01 14:26:35
0,194,497,"12,39",2019-04-01 14:27:00
0,105,272,"19,27,48",2019-04-01 14:27:19
0,156,446,"4,13",2019-04-01 14:27:31
0,99,158,"2,17,43",2019-04-01 14:27:40
0,163,257,"4,10,31,39,40",2019-04-01 14:27:41
0,105,237,"1,6,21,39",2019-04-01 14:28:10
0,64,252,"7,8,48",2019-04-01 14:28:55
0,72,363,0,2019-04-01 14:29:52
0,167,207,"5,15,20,45",2019-04-01 14:29:55
0,18,487,"12,19",2019-04-01 14:30:44
0,125,183,"10,42",2019-04-01 14:31:04
0,178,463,"3,7,17,35,46",2019-04-01 14:31:38
0,111,445,"2,41,49",2019-04-01 14:32:16
0,89,28,"3,19,31,37,46",2019-04-01 14:32:41
0,139,438,14,2019-04-01 14:32:55
0,38,47,"27,29",2019-04-01 14:33:45
0,82,313,"14,20,25,27,42",2019-04-01 14:33:51
0,132,293,"18,29,42,45",2019-04-01 14:34:15
0,197,374,"7,11,29,37,41",2019-04-01 14:34:35
0,199,293,"18,29,42,45",2019-04-01 14:35:08
0,56,331,"1,10,33,35",2019-04-01 14:35:15
0,197,240,"3,16,43",2019-04-01 14:36:10
0,73,431,13,2019-04-01 14:36:17
0,82,499,"9,13,35,48",2019-04-01 14:36:50
0,142,358,33,2019-04-01 14:37:36
0,2,314,"19,23,27,32,35",2019-04-01 14:38:24
0,38,77,"11,29,31,42,49",2019-04-01 14:38:59
0,143,115,"24,26,29,38,41",2019-04-01 14:39:42
0,173,124,"0,19,24,28,42",2019-04-01 14:40:14
0,196,378,"0,4,5,24,44",2019-04-01 14:40:43
0,148,362,"7,10,20,26,49",2019-04-01 14:41:15
0,103,129,42,2019-04-01 14:41:17
0,103,48,"6,29,35",2019-04-01 14:41:21
0,89,342,"17,29",2019-04-01 14:41:37
0,174,117,"2,3,15",2019-04-01 14:41:40
0,76,123,"7,24,26",2019-04-01 14:41:49
0,32,432,"13,38",2019-04-01 14:42:42
0,51,64,"2,5,18,24,40",2019-04-01 14:43:08
0,185,208,41,2019-04-01 14:43:30
0,58,412,0,2019-04-01 14:43:38
0,100,95,"1,6",2019-04-01 14:43:40
0,29,85,16,2019-04-01 14:44:05
0,164,404,"6,14,21,27,46",2019-04-01 14:44:41
0,45,182,"1,46",2019-04-01 14:44:44
0,40,430,30,2019-04-01 14:45:36
0,93,103,"0,25,32,36",2019-04-01 14:46:19
0,148,263,"9,27,29",2019-04-01 14:46:51
0,88,311,"29,43,44",2019-04-01 14:47:39
0,176,390,"15,37",2019-04-01 14:48:17
0,21,435,"1,16,36,39",2019-04-01 14:48:27
0,138,71,"45,47",2019-04-01 14:49:00
0,64,473,"19,28,44,45",2019-04-01 14:49:25
1,129,68,"17,33,44",2019-04-01 14:49:28
0,60,38,"5,7,8,36,42",2019-04-01 14:50:26
0,100,238,8,2019-04-01 14:50:55
0,163,208,41,2019-04-01 14:51:05
0,72,6,17,2019-04-01 14:51:23
0,177,441,"29,32",2019-04-01 14:52:02
0,138,353,"2,28,29",2019-04-01 14:52:53
0,135,208,41,2019-04-01 14:53:30
0,67,281,"13,15,19,38",2019-04-01 14:54:19
0,4,33,"1,6,8,14,38",2019-04-01 14:55:16
0,15,270,"22,28,41",2019-04-01 14:55:47
0,90,486,"21,26,33,44",2019-04-01 14:56:14
0,55,291,"14,19,39,42",2019-04-01 14:57:01
0,56,403,"4,20,36,45",2019-04-01 14:57:05
0,23,364,2,2019-04-01 14:57:50
0,51,145,"0,2,15,48",2019-04-01 14:58:16
0,43,20,"29,42",2019-04-01 14:58:50
0,140,145,"0,2,15,48",2019-04-01 14:59:14
0,77,428,33,2019-04-01 15:00:13
0,39,302,"13,14,30,33,47",2019-04-01 15:01:02
0,126,266,"5,11,30,45,48",2019-04-01 15:01:50
0,36,215,20,2019-04-01 15:02:37
0,60,26,"12,16,24,42,49",2019-04-01 15:02:53
0,84,418,"0,12,20,24,25",2019-04-01 15:02:54
0,90,149,"3,14,40,47",2019-04-01 15:03:27
1,92,6,17,2019-04-01 15:04:05
0,66,190,"0,7,34,35,49",2019-04-01 15:04:57
0,149,184,38,2019-04-01 15:05:14
0,132,197,"3,5,32,34",2019-04-01 15:05:18
0,57,86,"2,8,15,21,46",2019-04-01 15:05:56
0,185,56,"1,10,26,43",2019-04-01 15:06:02
0,76,53,"4,7,15,33",2019-04-01 15:06:29
0,9,286,"10,12,19,41",2019-04-01 15:07:27
0,13,28,"3,19,31,37,46",2019-04-01 15:08:19
0,109,484,"22,35",2019-04-01 15:08:56
0,112,22,"4,27,47",2019-04-01 15:09:42
0,24,75,"6,10,12,22,29",2019-04-01 15:10:14
0,53,321,"6,13,32,44,48",2019-04-01 15:10:34
0,103,85,16,2019-04-01 15:11:31
1,39,148,42,2019-04-01 15:12:10
0,160,332,"9,33",2019-04-01 15:12:51
0,47,194,"14,15,21,26,28",2019-04-01 15:13:40
0,55,282,"14,22,24,41",2019-04-01 15:14:30
0,105,215,20,2019-04-01 15:15:28
0,50,414,"9,30,32",2019-04-01 15:16:19
1,84,12,37,2019-04-01 15:16:30
0,124,44,"3,8,21,33,49",2019-04-01 15:16:38
0,21,236,"19,23,26,31",2019-04-01 15:16:50
0,102,226,"8,12,13,15,23",2019-04-01 15:16:55
