skill,n,auc,logloss,acc@0.5
0,2589,0.5008810572687223,0.28113433683804456,0.9190283400809717
1,2893,0.4953304857742706,0.2605784416950473,0.9272959183673469
10,2725,0.411312780926324,0.28568033554811645,0.9171483622350675
11,2731,0.5631009615384616,0.25729655449939,0.9285714285714286
12,2994,0.4056897182583242,0.27385492422569424,0.9211324570273003
13,2858,0.5372435897435898,0.27816961311514143,0.9202453987730062
14,3739,0.4130378096479792,0.22749260748401132,0.9388004895960832
15,3459,0.5135786021725763,0.21816329269939524,0.9431664411366711
16,2995,0.4569877263231198,0.2832382888333041,0.9181585677749361
17,3543,0.5308880308880308,0.22507451805951015,0.940677966101695
18,2644,0.5145833333333334,0.24420166663765042,0.9336099585062241
19,3912,0.5124472573839662,0.2256353164587939,0.9404761904761905
20,3395,0.5110798395445134,0.23800538788635311,0.935933147632312
21,3977,0.5110826939471441,0.23147633650281452,0.9383499546690843
22,3297,0.5039735099337749,0.278693471175072,0.92003046458492
23,2468,0.523048269439702,0.284406161683163,0.9176755447941889
24,2513,0.5216661453445939,0.3032550624353495,0.9096858638743456
25,3521,0.5687984496124031,0.1976109148485668,0.9502762430939227
26,3491,0.5493900905432596,0.22827364744718653,0.9395085066162571
27,2924,0.5234102026554857,0.226600020726566,0.9401330376940134
28,3165,0.6158074604249282,0.25839017923462315,0.9281524926686217
29,2793,0.5831196581196582,0.2467361095370185,0.9326424870466321
3,2667,0.5012914105191256,0.2797510277181948,0.9195979899497487
30,3760,0.41406417112299465,0.1962042483721591,0.9507829977628636
31,3487,0.5343859865539998,0.21566448455362042,0.944043321299639
32,2065,0.501736111111111,0.31320991164059203,0.9053254437869822
33,2514,0.5513456090651557,0.2858064355224983,0.9168831168831169
34,3281,0.5155616626588801,0.2574740535864897,0.9285091543156059
35,3090,0.5385206873096147,0.25727447024251643,0.9285714285714286
36,2810,0.4866666666666667,0.2711933903705808,0.9230769230769231
37,3296,0.4107692307692308,0.22134987197432696,0.9420289855072463
38,4534,0.532369259503406,0.18086047513943046,0.9558665231431647
39,3472,0.36516783409906856,0.23052452159323883,0.9387019230769231
4,3224,0.5477966101694915,0.23645522737882832,0.9365079365079365
40,2918,0.4821661998132586,0.28803156548040565,0.9161676646706587
41,3525,0.47911917098445594,0.22923774005019604,0.9391727493917275
42,2993,0.5433327388383568,0.29333275343730003,0.913926499032882
43,2605,0.5036086607858861,0.2975871975252723,0.9121212121212121
45,2552,0.5833819241982507,0.27612865916591584,0.9210526315789473
46,2699,0.5319153225806451,0.2695810672551223,0.9237187127532777
47,2895,0.5027491150109211,0.29480913461842173,0.9133089133089133
48,3296,0.4005102040816327,0.22057089901132013,0.9423076923076923
49,2488,0.4461211439814489,0.3074210155521719,0.9078787878787878
5,2379,0.587440216261177,0.28840493787870064,0.916
6,2602,0.5076827242524917,0.26705603182727855,0.9247311827956989
7,2634,0.26785714285714285,0.24502688568927153,0.9333333333333333
8,2849,0.511494373972776,0.2605818114889426,0.9272943980929678
9,3470,0.5190833042872081,0.22472714868938035,0.940809968847352
