order_id,timestamp,user_id,domain,item_id,correct,p_correct_sim,L1,L2,L3,tier,question_text,L2_tier
1,2026-01-13T05:52:52.882832+00:00,u001,基本的なファイル管理,2,1,0.9601371645727259,Linuxファイル操作,基本的なファイル管理,ls,1,ファイルの詳細情報付き一覧を表示する ls のオプションとして正しいものはどれですか？,基本的なファイル管理:t1
2,2026-01-13T05:53:23.882832+00:00,u001,基本的なファイル管理,8,1,0.9211365340980919,Linuxファイル操作,基本的なファイル管理,cp,1,ファイル file1 をディレクトリ dir にコピーするコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
3,2026-01-13T05:53:57.882832+00:00,u001,所有者とパーミッション,27,1,0.28115811986780687,Linuxファイル操作,所有者とパーミッション,SGID,3,ディレクトリに SGID ビットが設定されているときの効果として最も適切なものはどれですか？,所有者とパーミッション:t3
4,2026-01-13T05:54:26.882832+00:00,u001,所有者とパーミッション,21,0,0.44483729352110074,Linuxファイル操作,所有者とパーミッション,chown,1,ファイル data.txt の所有者を user1 に変更するコマンドとして正しいものはどれですか？,所有者とパーミッション:t1
5,2026-01-13T05:54:59.882832+00:00,u001,所有者とパーミッション,18,1,0.63470789974282,Linuxファイル操作,所有者とパーミッション,基本パーミッション,1,ls -l の出力に含まれる r や w や x などの文字は何を表していますか？,所有者とパーミッション:t1
6,2026-01-13T05:55:30.882832+00:00,u001,所有者とパーミッション,25,1,0.5054779822489999,Linuxファイル操作,所有者とパーミッション,umask,3,umask が 022 の環境で新しい通常ファイルを作成したときのデフォルトパーミッションを数字3桁で答えてください,所有者とパーミッション:t3
7,2026-01-13T05:55:58.882832+00:00,u001,所有者とパーミッション,27,0,0.28115811986780687,Linuxファイル操作,所有者とパーミッション,SGID,3,ディレクトリに SGID ビットが設定されているときの効果として最も適切なものはどれですか？,所有者とパーミッション:t3
8,2026-01-13T05:56:23.882832+00:00,u001,基本的なファイル管理,13,1,0.8885105846143382,Linuxファイル操作,基本的なファイル管理,touch,1,ファイルのタイムスタンプを更新したり存在しない場合は空のファイルを作成したりするコマンド名を一つ書いてください,基本的なファイル管理:t1
9,2026-01-13T05:56:56.882832+00:00,u001,所有者とパーミッション,29,0,0.3059446247632852,Linuxファイル操作,所有者とパーミッション,パーミッション表記,2,パーミッション文字列 rwxr-xr-x を数字3桁で表したものを答えてください,所有者とパーミッション:t2
10,2026-01-13T05:57:29.882832+00:00,u001,所有者とパーミッション,19,0,0.21672317703175042,Linuxファイル操作,所有者とパーミッション,chmod,1,所有者に読み書きグループとその他に読み取りのみを許可するパーミッションを数字3桁で表したものとして正しいのはどれですか？,所有者とパーミッション:t1
11,2026-01-13T05:57:54.882832+00:00,u001,所有者とパーミッション,19,1,0.21672317703175042,Linuxファイル操作,所有者とパーミッション,chmod,1,所有者に読み書きグループとその他に読み取りのみを許可するパーミッションを数字3桁で表したものとして正しいのはどれですか？,所有者とパーミッション:t1
12,2026-01-13T05:58:28.882832+00:00,u001,基本的なファイル管理,2,1,0.9601371645727259,Linuxファイル操作,基本的なファイル管理,ls,1,ファイルの詳細情報付き一覧を表示する ls のオプションとして正しいものはどれですか？,基本的なファイル管理:t1
13,2026-01-13T05:58:57.882832+00:00,u001,所有者とパーミッション,24,0,0.43735945939451626,Linuxファイル操作,所有者とパーミッション,umask,2,umask 022 の意味として最も適切な説明はどれですか？,所有者とパーミッション:t2
14,2026-01-13T05:59:27.882832+00:00,u001,所有者とパーミッション,26,0,0.4864329646094127,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
15,2026-01-13T05:59:55.882832+00:00,u001,所有者とパーミッション,26,1,0.4864329646094127,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
16,2026-01-13T06:00:24.882832+00:00,u001,基本的なファイル管理,1,1,0.862585280977413,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,基本的なファイル管理:t1
17,2026-01-13T06:01:00.882832+00:00,u001,所有者とパーミッション,20,1,0.41180971941557887,Linuxファイル操作,所有者とパーミッション,chmod,2,ファイル script.sh に所有者だけ実行権限を追加する chmod の指定を一つ書いてください,所有者とパーミッション:t2
18,2026-01-13T06:01:24.882832+00:00,u001,基本的なファイル管理,9,1,0.8964556462921821,Linuxファイル操作,基本的なファイル管理,cp,2,ディレクトリ A をタイムスタンプと権限を保ったままディレクトリ B にコピーしたいときに最も適切なコマンドはどれですか？,基本的なファイル管理:t2
19,2026-01-13T06:01:57.882832+00:00,u001,基本的なファイル管理,12,1,0.7963856298158599,Linuxファイル操作,基本的なファイル管理,ブレース展開,2,echo {A、B、C}.txt の出力として最も適切なものはどれですか？,基本的なファイル管理:t2
20,2026-01-13T06:02:28.882832+00:00,u001,所有者とパーミッション,18,1,0.63470789974282,Linuxファイル操作,所有者とパーミッション,基本パーミッション,1,ls -l の出力に含まれる r や w や x などの文字は何を表していますか？,所有者とパーミッション:t1
