step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.4241654519079277,0.5145962802245557,0.5756250538688841,0.5762563186930396,0.5631288825312083,1,10,18
1,0.5762563186930396,0.5631288825312083,0.39789690093151886,0.3987925393532073,0.5064997159770813,0,11,19
2,0.3987925393532073,0.5064997159770813,0.24376301201135314,0.244887927168562,0.45738834266318973,0,12,20
3,0.244887927168562,0.45738834266318973,0.13614021902480686,0.13742522488508185,0.42309670699192214,0,13,21
4,0.13742522488508185,0.42309670699192214,0.07185742130829946,0.07323804890441604,0.402614407489624,0,14,22
5,0.07323804890441604,0.402614407489624,0.12703356680302433,0.12833211896066168,0.4201950725750068,1,16,23
6,0.12833211896066168,0.4201950725750068,0.2132826106895153,0.21445286595305238,0.44767643324105505,1,23,29
7,0.21445286595305238,0.44767643324105505,0.3345327649837677,0.33552265861656483,0.48631012784014666,1,24,24
8,0.33552265861656483,0.48631012784014666,0.1970284953020665,0.19822292883386708,0.4424974169048519,0,25,30
9,0.19822292883386708,0.4424974169048519,0.10725441893565361,0.10858239290627564,0.4138928821770974,0,26,25
10,0.10858239290627564,0.4138928821770974,0.18320717949049162,0.18442217246053175,0.43809355864067073,1,27,26
11,0.18442217246053175,0.43809355864067073,0.29397967411588116,0.2950298911490323,0.47338877745706176,1,28,27
12,0.2950298911490323,0.47338877745706176,0.4352302766584129,0.43607038105982465,0.5183951749526279,1,29,28
