skill_field,skill,n,auc,logloss
L1,Linuxファイル操作,9600,0.6010656895587747,0.6793312510634361
L2,テキスト処理,3143,0.6837821582715051,0.6412852331285493
L2,ファイルの操作,3251,0.6676582657243068,0.6534075186404361
L2,標準入出力操作,3206,0.6695984576907857,0.6515633923162935
L3,awk,120,0.6043003851091143,0.603655563567833
L3,chmod,383,0.6556852932999722,0.647416326271326
L3,chown,207,0.5080936964387736,0.6835155591786607
L3,cp,200,0.5160805062765846,0.6735382383560977
L3,cut,368,0.5929541047188106,0.6352451817750246
L3,file,188,0.5660228616476154,0.6105746174654181
L3,find,200,0.6242405519513953,0.6539710953698104
L3,grep,473,0.6544856502566327,0.6495552076077383
L3,gzip,206,0.5303104575163399,0.4616760690356704
L3,head,134,0.6,0.593681930107696
L3,ln,218,0.5525114155251142,0.6303880947229906
L3,ls,195,0.6594963866305329,0.6131978467282337
L3,mkdir,201,0.5760257441673371,0.6685887207822174
L3,mv,204,0.5581217997603225,0.6260378906562224
L3,nl,122,0.6464696223316913,0.5632939316473149
L3,paste,132,0.5326714384668667,0.688590144416493
L3,rm,207,0.6120181405895692,0.5855230871800183
L3,rmdir,204,0.6417359667359668,0.6270456523878499
L3,sed,233,0.6541569541569542,0.6283215304844126
L3,sort,381,0.6217147660409078,0.6577802269634934
L3,sort_uniq,139,0.5461873638344227,0.6659088001543455
L3,split,129,0.5491242474001096,0.6290969449054479
L3,tail,152,0.5254237288135593,0.670086023898019
L3,tar,437,0.6347715620888345,0.6198485806352928
L3,tee,336,0.5795770213711618,0.6586267468588325
L3,touch,201,0.5737186138202948,0.6644710437949047
L3,tr,114,0.5986149584487535,0.4406739506387988
L3,uniq,130,0.5409696142027995,0.5194735976525782
L3,wc,258,0.5467932143532824,0.6594629140031416
L3,xargs,333,0.6258149586110908,0.6610725244384009
L3,パイプ,530,0.5933583489681052,0.6557195823850167
L3,ヒアドキュメント,344,0.6109756097560975,0.663414821301778
L3,リダイレクト,1179,0.6723007543847124,0.6319768053934481
L3,標準入出力,484,0.6318180862029071,0.5740601722120066
L3,正規表現,258,0.5954198473282444,0.6770159275393645
