step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.561434032973536,0.4665921081604962,0.40364815305454727,0.406507932438195,0.4136357024723919,0,1,48
1,0.406507932438195,0.4136357024723919,0.26586745410053414,0.2693879548424731,0.36676573584694017,0,6,13
2,0.2693879548424731,0.36676573584694017,0.163146378625711,0.16715947382411667,0.33182228283947357,0,10,50
3,0.16715947382411667,0.33182228283947357,0.31057005940187454,0.3138761907414365,0.3819725800163394,1,12,51
4,0.3138761907414365,0.3819725800163394,0.19476651832927142,0.1986279805209287,0.34257875964536244,0,15,11
5,0.1986279805209287,0.34257875964536244,0.11586716129679102,0.12010698192865481,0.31573893186864144,0,21,51
6,0.12010698192865481,0.31573893186864144,0.23451695961228342,0.23818780028905093,0.3561009864189658,1,28,53
7,0.23818780028905093,0.3561009864189658,0.4123637434057235,0.415181727554343,0.4166005548209569,1,30,14
8,0.415181727554343,0.4166005548209569,0.6144018633758683,0.6162509824942862,0.4853294842861089,1,34,18
9,0.6162509824942862,0.4853294842861089,0.4591895613814054,0.46178299435347503,0.43252966929338554,0,35,52
10,0.46178299435347503,0.43252966929338554,0.6581974097678455,0.6598365092454945,0.5002277669433954,1,37,50
11,0.6598365092454945,0.5002277669433954,0.5063232725384186,0.5086906778455584,0.4485635222614288,0,38,14
12,0.5086906778455584,0.4485635222614288,0.3537707797412136,0.35686974390251,0.3966685159193508,0,41,11
13,0.35686974390251,0.3966685159193508,0.22683883677056751,0.23054649755197681,0.3534890577230789,0,43,14
14,0.23054649755197681,0.3534890577230789,0.1367559782327869,0.14089562745019404,0.3228448484452591,0,45,14
15,0.14089562745019404,0.3228448484452591,0.07979450777025118,0.08420731324553762,0.3034678076856765,0,48,20
16,0.08420731324553762,0.3034678076856765,0.04636308099715768,0.05093620542767385,0.29209517081424413,0,49,15
17,0.05093620542767385,0.29209517081424413,0.1075069022328278,0.11178681412396334,0.3128949554170568,1,56,54
18,0.11178681412396334,0.3128949554170568,0.2202551917856105,0.2239944241506305,0.3512494463474555,1,64,51
19,0.2239944241506305,0.3512494463474555,0.3931476606406494,0.3960577946796524,0.41006366565789976,1,66,17
20,0.3960577946796524,0.41006366565789976,0.2574643430923514,0.26102514058819964,0.3639071821054256,0,74,49
21,0.26102514058819964,0.3639071821054256,0.15737129467103442,0.1614120840337443,0.32985772616158054,0,76,47
22,0.1614120840337443,0.32985772616158054,0.09237037383837249,0.0967228722940742,0.30774584101961777,0,79,48
23,0.0967228722940742,0.30774584101961777,0.1937631244858152,0.19762939840907337,0.3422374271052316,1,81,16
24,0.19762939840907337,0.3422374271052316,0.11522482621500446,0.11946772713685762,0.31552042358646365,0,86,47
25,0.11946772713685762,0.31552042358646365,0.23343031794532157,0.2371063695650123,0.3557313347983036,1,87,16
26,0.2371063695650123,0.3557313347983036,0.4109180660490277,0.41374298288062833,0.4161087671469656,1,90,46
27,0.41374298288062833,0.4161087671469656,0.6129963823331274,0.6148522413748485,0.48485137051497784,1,95,18
28,0.6148522413748485,0.48485137051497784,0.4577221014427552,0.46032257155523176,0.432030471663595,0,96,14
29,0.46032257155523176,0.432030471663595,0.6568739330825268,0.6585193792351444,0.49977754925295426,1,98,54
30,0.6585193792351444,0.49977754925295426,0.8123177695001474,0.8132177914858421,0.5526561271694285,1,99,16
31,0.8132177914858421,0.5526561271694285,0.6971545234251879,0.6986068057561234,0.5134801210888262,0,105,54
32,0.6986068057561234,0.5134801210888262,0.5506756759481285,0.5528303912308541,0.46365123544152753,0,106,19
33,0.5528303912308541,0.46365123544152753,0.7350800311289384,0.7363504433347102,0.526381545554102,1,115,20
34,0.7363504433347102,0.526381545554102,0.862418440640267,0.863078207033282,0.5696992747370997,1,116,53
