step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.3808683170399787,0.4919241836224846,0.5429539798763257,0.545538237016418,0.5476041768338118,1,3,24
1,0.545538237016418,0.5476041768338118,0.698626075796104,0.700330122393536,0.5999441010178985,1,4,56
2,0.700330122393536,0.5999441010178985,0.8186124899125016,0.8196381020990826,0.6402858191714781,1,5,55
3,0.8196381020990826,0.6402858191714781,0.8977069825731464,0.8982853739145598,0.666878894345145,1,7,57
4,0.8982853739145598,0.666878894345145,0.9446125322360158,0.9449257073928676,0.6826494336872287,1,8,60
5,0.9449257073928676,0.6826494336872287,0.8894768994938373,0.8901018258667898,0.6641117836317275,0,11,28
6,0.8901018258667898,0.6641117836317275,0.7916281159402226,0.7928063047996952,0.6312131585927193,0,13,58
7,0.7928063047996952,0.6312131585927193,0.6421965457818902,0.6442196596273245,0.5809714180509421,0,22,26
8,0.6442196596273245,0.5809714180509421,0.45926845160335245,0.4623258884987424,0.5194675080285698,0,27,26
9,0.4623258884987424,0.5194675080285698,0.2874099116655306,0.2914390814704424,0.4616853930156851,0,32,30
10,0.2914390814704424,0.4616853930156851,0.4426780646917858,0.4458293079522799,0.5138895039039029,1,33,24
11,0.4458293079522799,0.5138895039039029,0.27397434861451636,0.27807948658940884,0.45716810077197445,0,42,25
12,0.27807948658940884,0.45716810077197445,0.15303116302771702,0.1578201452483457,0.41650469782365734,0,46,55
13,0.1578201452483457,0.41650469782365734,0.08079813970216194,0.08599554623469913,0.392218579350664,0,47,56
14,0.08599554623469913,0.392218579350664,0.042267331134042095,0.04768260088553642,0.3792637875025076,0,53,23
15,0.04768260088553642,0.3792637875025076,0.08816676500750417,0.0933225074149433,0.3946960515498005,1,54,25
16,0.0933225074149433,0.3946960515498005,0.046056314164417744,0.051450160019807935,0.380537715777019,0,55,22
17,0.051450160019807935,0.380537715777019,0.09481463345324746,0.09993278708244352,0.39693119156240286,1,58,26
18,0.09993278708244352,0.39693119156240286,0.17655463343889433,0.18121060783603646,0.4244137366953515,1,59,21
19,0.18121060783603646,0.4244137366953515,0.09404798241268701,0.09917047088638077,0.3966734288779507,0,63,60
20,0.09917047088638077,0.3966734288779507,0.17532167558196068,0.17998462144369265,0.4239991927761424,1,65,28
21,0.17998462144369265,0.4239991927761424,0.2976848390012593,0.30165591169305306,0.4651400193221632,1,67,59
22,0.30165591169305306,0.4651400193221632,0.16847987175373672,0.1731815029548343,0.42169884799350277,0,68,56
23,0.1731815029548343,0.42169884799350277,0.287995324556159,0.2920211842842385,0.46188221998156387,1,69,57
24,0.2920211842842385,0.46188221998156387,0.4433732230414098,0.4465205356956861,0.5141232293837346,1,70,27
25,0.4465205356956861,0.5141232293837346,0.6090606726680419,0.6112711453633891,0.5698305062754233,1,73,56
26,0.6112711453633891,0.5698305062754233,0.4244930401792239,0.4277471063008089,0.507775352240115,0,77,28
27,0.4277471063008089,0.507775352240115,0.5907473901822122,0.5930614109426093,0.563673231837723,1,83,30
28,0.5930614109426093,0.563673231837723,0.7378338960677042,0.7393162514458211,0.6131265170977616,1,85,56
29,0.7393162514458211,0.6131265170977616,0.8456029727051633,0.8464759736779925,0.6493605336520217,1,89,22
30,0.8464759736779925,0.6493605336520217,0.7211575019878151,0.7227341500379485,0.6075195957246778,0,92,57
31,0.7227341500379485,0.6075195957246778,0.5500939704190172,0.5526378561944598,0.5500047776702787,0,93,30
32,0.5526378561944598,0.5500047776702787,0.7046290055819818,0.7062991100521934,0.6019624003670456,1,94,59
33,0.7062991100521934,0.6019624003670456,0.8228215192416645,0.8238233324810545,0.6417009750134763,1,97,21
34,0.8238233324810545,0.6417009750134763,0.6868545007078302,0.6886251068542629,0.5959862732260441,0,101,23
35,0.6886251068542629,0.5959862732260441,0.5091702476283949,0.5119455267825441,0.5362454424757712,0,102,25
36,0.5119455267825441,0.5362454424757712,0.329770534924494,0.33356018674151017,0.47592784152044065,0,103,58
37,0.33356018674151017,0.47592784152044065,0.49149538502586426,0.4943706024528999,0.5303028169646626,1,108,26
38,0.4943706024528999,0.5303028169646626,0.6537550417353869,0.6557128008367006,0.584857604578551,1,109,25
39,0.6557128008367006,0.584857604578551,0.47183794299784143,0.4748243087177844,0.5236936104827894,0,110,56
40,0.4748243087177844,0.5236936104827894,0.29779871805850994,0.30176914684847794,0.465178307630594,0,111,27
41,0.30176914684847794,0.465178307630594,0.1685551816169442,0.17325638699647647,0.4217241686041575,0,112,23
42,0.17325638699647647,0.4217241686041575,0.08950153807286011,0.09464973332602446,0.3951448276816494,0,113,21
43,0.09464973332602446,0.3951448276816494,0.04674598147671844,0.05213592777364487,0.38076959506549896,0,117,60
44,0.05213592777364487,0.38076959506549896,0.02515133956023543,0.030663387582378302,0.37350906507768616,0,118,60
