step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.3693446140202759,0.5070007468041017,0.17485722735153247,0.17576635934242982,0.4273168815036788,0,0,1
1,0.17576635934242982,0.4273168815036788,0.3153227940160559,0.316077162801715,0.48507392235338814,1,1,2
2,0.316077162801715,0.48507392235338814,0.49952226427481267,0.5000736843870185,0.5608135970712407,1,2,3
3,0.5000736843870185,0.5608135970712407,0.2657560706064256,0.26656505138824993,0.46469293264369216,0,4,4
4,0.26656505138824993,0.46469293264369216,0.11622466719031899,0.1171983998029726,0.40320817463146613,0,5,1
5,0.1171983998029726,0.40320817463146613,0.2228240239048267,0.22368030667896668,0.44704000862831395,1,6,2
6,0.22368030667896668,0.44704000862831395,0.383575637812785,0.38425480646845184,0.5131383254728477,1,7,3
7,0.38425480646845184,0.5131383254728477,0.5740563365621946,0.5745256359653856,0.591460734017471,1,8,5
8,0.5745256359653856,0.591460734017471,0.744651645292728,0.7449329849175571,0.6616066099718997,1,9,6
9,0.7449329849175571,0.6616066099718997,0.5137991866105324,0.5143348765882,0.5666840235831108,0,15,8
10,0.5143348765882,0.5666840235831108,0.6957843638891626,0.6961195448736992,0.6415132188635946,1,16,9
11,0.6961195448736992,0.6415132188635946,0.45321968043921235,0.4538221161594093,0.5417747657793914,0,17,10
12,0.4538221161594093,0.5417747657793914,0.642150082518502,0.6425443570837124,0.6194597188234853,1,19,7
13,0.6425443570837124,0.6194597188234853,0.3940946670201925,0.39476224594098847,0.5174635705422144,0,20,11
14,0.39476224594098847,0.5174635705422144,0.19094293049680244,0.1918343394610792,0.43393104777744296,0,21,14
15,0.1918343394610792,0.43393104777744296,0.3389029000420744,0.3396312885617146,0.4947696590333812,1,22,17
16,0.3396312885617146,0.4947696590333812,0.5262284119285077,0.5267504075411112,0.5717947086532466,1,25,12
17,0.5267504075411112,0.5717947086532466,0.28711172566059096,0.2878971770486669,0.4734740130936901,0,26,13
18,0.2878971770486669,0.4734740130936901,0.12761909907254654,0.12858027744260647,0.4078933703225412,0,27,15
19,0.12858027744260647,0.4078933703225412,0.24165588233275806,0.2424914164007197,0.4547833470302135,1,29,16
20,0.2424914164007197,0.4547833470302135,0.10380668842236082,0.10479410300877032,0.39810211395052536,0,33,1
21,0.10479410300877032,0.39810211395052536,0.20179575219455442,0.20267520365556752,0.4383935426152613,1,34,1
22,0.20267520365556752,0.4383935426152613,0.08422996188255241,0.08523894586151352,0.3900524985087299,0,37,15
23,0.08523894586151352,0.3900524985087299,0.032616975869150966,0.0336828263908316,0.36883012058125453,0,38,15
24,0.0336828263908316,0.36883012058125453,0.07000866649940142,0.07103331932381982,0.3842049448492473,1,39,15
25,0.07103331932381982,0.3842049448492473,0.026923033458633876,0.02799515749487626,0.36648886875556286,0,41,14
26,0.02799515749487626,0.36648886875556286,0.0585587483951385,0.059596016596176304,0.3794969341717752,1,42,14
27,0.059596016596176304,0.3794969341717752,0.022416684505197564,0.023493773580378078,0.36463593506678005,0,44,13
28,0.023493773580378078,0.36463593506678005,0.04939272327830435,0.05044009049122144,0.3757280212654055,1,51,4
29,0.05044009049122144,0.3757280212654055,0.10291340105053691,0.10390179984980472,0.3977348094470083,1,52,6
30,0.10390179984980472,0.3977348094470083,0.20026226699700478,0.20114340803283676,0.4377629997049919,1,53,9
31,0.20114340803283676,0.4377629997049919,0.08349961254466806,0.08450940121339877,0.3897521913406145,0,54,3
