step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.4241654519079277,0.5145962802245557,0.5756250538688841,0.5762563186930396,0.5631288825312083,1,3,18
1,0.5762563186930396,0.5631288825312083,0.39789690093151886,0.3987925393532073,0.5064997159770813,0,10,19
2,0.3987925393532073,0.5064997159770813,0.5498431981429266,0.5505128139083185,0.5549140613121174,1,11,20
3,0.5505128139083185,0.5549140613121174,0.37310558297723795,0.37403809889867434,0.49860050783067106,0,12,21
4,0.37403809889867434,0.49860050783067106,0.5238828273512601,0.5245910596020318,0.5466423601940268,1,13,22
5,0.5245910596020318,0.5466423601940268,0.670175643781017,0.670666263022631,0.5932553482342087,1,14,23
6,0.670666263022631,0.5932553482342087,0.49738513159723463,0.4981327796132469,0.5381994522958948,0,18,24
7,0.4981327796132469,0.5381994522958948,0.3253860031495518,0.32638950274343004,0.4833957133774966,0,23,25
8,0.32638950274343004,0.4833957133774966,0.1905839688404602,0.19178798871306774,0.44044401030423636,0,24,26
9,0.19178798871306774,0.44044401030423636,0.10339178788381488,0.10472550758267545,0.41266213975640276,0,28,30
10,0.10472550758267545,0.41266213975640276,0.17722659207751043,0.17845048127126975,0.4361879760129112,1,30,29
11,0.17845048127126975,0.4361879760129112,0.2857031786080465,0.28676570706657517,0.4707516542165877,1,31,27
12,0.28676570706657517,0.4707516542165877,0.16344660164458163,0.16469098880438918,0.43179728517162613,0,32,28
13,0.16469098880438918,0.43179728517162613,0.0874328675454037,0.08879032640495928,0.4075771808293473,0,35,30
14,0.08879032640495928,0.4075771808293473,0.1521341911185599,0.1533954056780681,0.4281928343898048,1,36,30
15,0.1533954056780681,0.4281928343898048,0.2501750499997845,0.25129042714333316,0.4594313975264574,1,40,28
16,0.25129042714333316,0.4594313975264574,0.38196741120263,0.38288674500648995,0.5014241344663828,1,43,26
17,0.38288674500648995,0.5014241344663828,0.5332564739539752,0.5339507627487812,0.5496290664975113,1,45,18
18,0.5339507627487812,0.5496290664975113,0.35763420329391793,0.35858973315117754,0.4936708930092216,0,46,19
19,0.35858973315117754,0.4936708930092216,0.21363536476331618,0.21480509529927358,0.4477888305673523,0,47,20
20,0.21480509529927358,0.4477888305673523,0.3349981128718325,0.3359873142918696,0.48645840070870067,1,48,21
21,0.3359873142918696,0.48645840070870067,0.19735832044840065,0.19855226335978432,0.4426025084327657,0,49,22
22,0.19855226335978432,0.4426025084327657,0.1074528704964896,0.10878054926709853,0.4139561144017381,0,50,23
